vessel	cruise	haul	species	sex	specimen	age	length
518	198101	92	20510	1	196	7	61
518	198101	92	20510	1	198	7	62
518	198101	92	20510	1	202	7	64
518	198101	92	20510	1	204	7	65
518	198101	92	20510	2	283	7	68
518	198101	92	20510	2	285	7	69
518	198101	92	20510	2	287	7	70
518	198101	92	20510	2	298	7	76
518	198101	92	20510	2	303	7	78
518	198101	104	20510	1	667	7	59
518	198101	104	20510	2	743	7	60
518	198101	104	20510	2	757	7	67
518	198101	104	20510	2	738	7	58
518	198101	40	20510	1	1048	8	68
518	198101	40	20510	1	1050	8	69
518	198101	53	20510	2	930	8	65
518	198101	53	20510	2	941	8	70
518	198101	53	20510	2	963	8	81
518	198101	67	20510	2	125	8	72
518	198101	77	20510	1	530	8	62
518	198101	77	20510	2	619	8	77
518	198101	82	20510	2	466	8	76
518	198101	92	20510	1	208	8	67
518	198101	92	20510	2	269	8	61
518	198101	92	20510	2	279	8	66
518	198101	92	20510	2	280	8	67
518	198101	92	20510	2	293	8	73
518	198101	92	20510	2	309	8	81
518	198101	104	20510	1	668	8	59
518	198101	104	20510	1	675	8	63
518	198101	104	20510	1	683	8	67
518	198101	104	20510	1	691	8	71
518	198101	104	20510	2	742	8	60
518	198101	40	20510	1	1044	9	66
518	198101	40	20510	2	1114	9	71
518	198101	53	20510	1	845	9	58
518	198101	53	20510	1	874	9	72
518	198101	67	20510	1	50	9	69
518	198101	67	20510	2	127	9	73
518	198101	67	20510	2	130	9	75
518	198101	67	20510	2	138	9	79
518	198101	67	20510	2	140	9	80
518	198101	67	20510	2	110	9	65
518	198101	77	20510	2	620	9	78
518	198101	77	20510	2	623	9	79
518	198101	82	20510	1	363	9	59
518	198101	82	20510	1	367	9	61
518	198101	82	20510	1	370	9	62
518	198101	82	20510	1	379	9	67
518	198101	82	20510	1	402	9	79
518	198101	82	20510	2	460	9	73
518	198101	92	20510	1	205	9	65
518	198101	92	20510	1	224	9	75
518	198101	92	20510	1	232	9	79
518	198101	92	20510	2	284	9	69
518	198101	92	20510	2	288	9	71
518	198101	92	20510	2	299	9	76
518	198101	104	20510	1	671	9	61
518	198101	104	20510	2	752	9	65
518	198101	40	20510	1	1041	10	65
518	198101	40	20510	2	1119	10	74
518	198101	40	20510	2	1138	10	83
518	198101	53	20510	1	852	10	61
518	198101	53	20510	2	926	10	63
518	198101	53	20510	2	946	10	73
518	198101	67	20510	1	42	10	65
518	198101	67	20510	1	51	10	69
518	198101	67	20510	2	131	10	75
518	198101	67	20510	2	143	10	81
